ac_assoc,ac_assocation_with_criminals
ac_cgdir,ac_changed_direction
ac_evasv,ac_evasive_to_questions
ac_incid,ac_high_crime_area
ac_inves,ac_ongoing_investigation
ac_proxm,ac_proximity_to_scene
ac_rept,ac_reported_by_person
ac_stsnd,ac_sights_sounds
ac_time,ac_time_of_day
addrnum,loc_address_number
addrpct,loc_address_precinct
addrtyp,loc_address_type
adtlrept,additional_reports
age,suspect_age
aptnum,loc_apt_number
arstmade,arrest_made
arstoffn,arrest_offense
asltweap,found_assault_weapon
beat,loc_beat
build,suspect_build
city,loc_city
comppct,complaint_precinct
compyear,complaint_year
contrabn,found_contraband
crimsusp,crime_suspected
crossst,loc_cross_street
cs_bulge,cs_bulge
cs_casng,cs_casing
cs_cloth,cs_clothing
cs_descr,cs_fit_description
cs_drgtr,cs_drug_transaction_suspected
cs_furtv,cs_furtive_movements
cs_lkout,cs_lookout
cs_objcs,cs_suspicious_object
cs_other,cs_other
cs_vcrim,cs_violent_crime_suspected
detailcm,crime_code_description
dettypcm,details_types_code
dob,suspect_dob
explnstp,officer_explained_stop
eyecolor,suspect_eye_color
forceuse,forceuse_reason
haircolr,suspect_hair_color
ht_feet,suspect_height_feet
ht_inch,suspect_height_inches
inout,loc_inside_outside
knifcuti,found_knife
linecm,additional_details
machgun,found_machine_gun
officrid,officer_id_card
offshld,officer_shield
offunif,officer_uniformed
offverb,officer_verbal_statement
othfeatr,suspect_other_features
othpers,other_persons_stopped
othrweap,found_other_weapon
pct,loc_precinct
perobs,period_of_observation
perstop,period_of_stop
pf_drwep,pf_weapon_drawn
pf_grnd,pf_ground
pf_hcuff,pf_handcuffed
pf_ptwep,pf_weapon_pointed
pf_wall,pf_wall
pistol,found_pistol
post,loc_post
premname,loc_premise_name
premtype,loc_premise_type
race,suspect_race
recstat,record_status
repcmd,reporting_officer_command
rescode,loc_resident_code
revcmd,reviewing_officer_command
rf_attir,rf_out_of_season_attire
rf_bulg,rf_bulge
rf_furt,rf_furtive_movements
rf_knowl,rf_prior_knowledge
rf_othsw,rf_other_suspicion_of_weapons
rf_rfcmp,rf_refused_to_comply
rf_vcact,rf_violent_crime_actions
rf_vcrim,rf_violent_crime_suspected
rf_verbl,rf_verbal_threats
riflshot,found_rifle
sb_admis,sb_admission_by_suspect
sb_hdobj,sb_hard_object
sb_other,sb_other
sb_outln,sb_outline_of_weapon
sector,loc_sector
ser_num,ucb_serialnum
sex,suspect_sex
state,loc_state
stinter,loc_intersection
stname,loc_street_name
sumissue,summons_issued
sumoffen,summons_offense
trhsloc,loc_housing_or_transit_authority
typeofid,suspect_type_of_id
weight,suspect_weight
zip,loc_zip
